,CollegeID,Total_Phd_FT,Total_Phd_PT,Graduate_FT_20_21,Graduate_FT_19_20,Graduate_FT_18_19,Graduate_PT_20_21,Graduate_PT_19_20,Graduate_PT_18_19,NP,AVG
0,IR-E-N-10.pdf,95,0,5,9,5,0,0,0,19,6.333333333
1,IR-E-U-0186.pdf,52,49,16,14,20,9,7,12,78,26
2,IR-E-U-0584.pdf,797,0,116,74,88,0,0,0,278,92.66666667
3,IR-E-U-0267.pdf,44,6,5,8,10,0,0,0,23,7.666666667
4,IR-E-U-0476.pdf,419,157,31,59,29,19,18,12,168,56
5,IR-E-U-0189.pdf,235,32,12,19,15,16,1,7,70,23.33333333
6,IR-E-U-0367.pdf,411,81,42,16,17,2,1,9,87,29
7,IR-E-U-0155.pdf,121,131,8,5,4,19,8,9,53,17.66666667
8,IR-E-U-0522.pdf,176,105,12,12,12,5,13,21,75,25
9,IR-E-U-0308.pdf,278,40,111,82,71,9,4,5,282,94
10,IR-E-U-0455.pdf,119,19,7,13,4,0,0,0,24,8
11,IR-E-U-0560.pdf,2100,244,185,235,222,14,14,68,738,246
12,IR-E-U-0497.pdf,291,652,39,26,26,95,57,44,287,95.66666667
13,IR-E-U-0490.pdf,1501,835,205,129,159,120,153,123,889,296.3333333
14,IR-E-U-0379.pdf,365,672,14,11,17,39,24,19,124,41.33333333
