,CollegeID,Library_20_21,Library_19_20,Library_18_19,Lab_20_21,Lab_19_20,Lab_18_19,Workshops_20_21,Workshops_19_20,Workshops_18_19,Others_20_21,Others_19_20,Others_18_19,TOTAL,AVG
0,IR-E-U-0255.pdf,20112752,27328960,31203880,34403325,82347027,91389744,218120,478557,776020,6312450,31623736,28522759,354717330,118239110
1,IR-E-U-0184.pdf,46390582,80516971,68823430,82072090,96715624,446051757,23838737,12371242,8197911,33468379,23538537,361172465,1283157725,427719241.7
2,IR-E-U-0355.pdf,58060861,58067946,48751457,59038353,114473502,122002591,61182268,48480342,54103959,16780854,18384389,11211088,670537610,223512536.7
3,IR-E-U-0205.pdf,42565586,54347220,51152277,432951532,228704019,103827206,8144629,3212798,4054949,117950230,71685669,84123238,1202719353,400906451
4,IR-E-U-0701.pdf,71962850,76095518,23560169,130379048,85004875,101251703,6874261,54685784,18434065,83421197,34203488,96100373,781973331,260657777
5,IR-E-U-0015.pdf,505609,3231226,97840,17616989,18844134,189240643,187147,3987022,210550,2830134,2621840,2435824,241808958,80602986
6,IR-E-C-36995.pdf,9731962,9522824,7211524,48511906,42749231,34049051,16526907,13132107,12062607,199748635,199476985,194003372,786727111,262242370.3
7,IR-E-U-0078.pdf,657519,1351599,2679891,27402911,78908348,56208746,25000,1722716,1318799,3451464,3006927,5263834,181997754,60665918
8,IR-E-U-0014.pdf,11129682,9417898,11094868,55311993,56348605,29069535,1611121,235136,1550000,16842249,18303322,19596834,230511243,76837081
9,IR-E-I-1074.pdf,165806523,170086147,160271963,1599172098,1827027685,1793766462,3399314,4058686,4302116,875256347,745381664,764538188,8113067193,2704355731
10,IR-E-U-0306.pdf,307774243,233311985,186529104,920663781,1358206293,1203696299,11352962,17800414,12162794,196296023,139451457,86813667,4674059022,1558019674
11,IR-E-C-37013.pdf,6925000,10937000,9935000,61123000,92220000,116873000,0,807000,3035000,26685000,71117000,55310000,454967000,151655666.7
12,IR-E-U-0854.pdf,4289494,6198860,4691184,27071789,28654244,67013909,4154660,1951971,2992945,12482452,16334291,20331285,196167084,65389028
13,IR-E-U-0577.pdf,79349519,16687336,46306333,68548409,75000031,75129042,0,0,6350095,11774390,10441904,13504473,403091532,134363844
14,IR-E-U-0143.pdf,1686097,1933972,2942000,16389670,18200000,17210000,0,5000000,5000000,2546030,8210000,5324567,84442336,28147445.33
15,IR-E-U-0541.pdf,11663943,3516525,1299336,31384596,16083251,536669,11152775,245629,601356,8184805,4534244,27022,89230151,29743383.67
