,CollegeID,Sponsored_Projects_2020_21,Sponsored_Projects_2019_20,Sponsored_Projects_2018_19,FundingAgencies_2020_21,FundingAgencies_2019_20,FundingAgencies_2018_19,Total_Amount_2020_21,Total_Amount_2019_20,Total_Amount_2018_19,FUNDING,AVG FUNDS
0,IR-E-U-0255.pdf,42,45,50,6,7,7,28702725,11956557,19749541,60408823,20136274.33
1,IR-E-U-0184.pdf,161,171,158,29,32,28,104309305,185350872,123830367,413490544,137830181.3
2,IR-E-U-0355.pdf,155,135,125,37,31,34,104185000,140771880,163443191,408400071,136133357
3,IR-E-U-0205.pdf,135,180,180,36,42,38,257186388,382124077,244750351,884060816,294686938.7
4,IR-E-U-0701.pdf,219,209,139,37,31,26,289963998,355988485,161046384,806998867,268999622.3
5,IR-E-U-0015.pdf,6,8,4,4,3,1,8481647,11698349,5550000,25729996,8576665.333
6,IR-E-C-36995.pdf,56,51,33,28,30,20,2157088,12547240,5637000,20341328,6780442.667
7,IR-E-U-0078.pdf,31,47,19,9,13,10,152889557,209528903,86593674,449012134,149670711.3
8,IR-E-U-0014.pdf,55,153,150,37,63,70,196154626,119150621,55654954,370960201,123653400.3
9,IR-E-I-1074.pdf,581,624,567,205,195,140,2614152161,2275026000,2048965952,6938144113,2312714704
10,IR-E-U-0306.pdf,521,622,563,170,185,149,1798698175,2297748211,2298187443,6394633829,2131544610
11,IR-E-C-37013.pdf,27,35,39,10,10,11,31172810,66913853,95462479,193549142,64516380.67
12,IR-E-U-0854.pdf,9,8,4,3,3,3,16194000,13155000,16500000,45849000,15283000
13,IR-E-U-0577.pdf,97,94,88,23,16,73,103690269,109952740,131494755,345137764,115045921.3
14,IR-E-U-0143.pdf,6,7,8,4,5,5,9749000,106490000,63930585,180169585,60056528.33
15,IR-E-U-0541.pdf,41,6,3,14,3,1,10605532,6922764,6224974,23753270,7917756.667
